,character_id,character_name,num_of_comics,num_of_series,num_of_stories,num_of_events
46,1017574,Angela (Aldrif Odinsdottir),34,14,34,1
1189,1014858,Spider-Man (Ben Reilly),34,14,35,1
246,1009245,Constrictor,34,11,37,5
397,1010868,Firebird,34,11,32,2
1008,1010817,Rage,33,8,39,5
902,1009474,Nocturne,33,14,34,1
878,1011086,Nemesis,33,5,53,1
467,1009328,Grim Reaper,33,18,32,1
1340,1011309,Toro (Thomas Raymond),33,16,31,2
663,1011327,Lady Bullseye,33,8,38,2
1320,1009666,Thunderbird (John Proudstar),33,22,30,2
179,1009217,Callisto,33,10,30,2
851,1010347,Mr. Hyde,33,17,45,2
1432,1010348,Whirlwind,33,21,33,1
1220,1010828,Stature,32,13,30,3
1439,1009715,Wild Child,32,17,31,1
150,1011339,Blue Marvel,32,9,36,5
1229,1009628,Stingray (Walter Newell),31,15,33,1
519,1009349,Holocaust (Age of Apocalypse),31,17,29,2
1249,1009639,Super-Skrull,31,22,35,3
351,1010785,Echo,31,15,34,1
211,1009261,Carol Danvers,31,15,33,3
1415,1009703,Warbird,31,9,33,3
1212,1011307,Star Brand,31,11,46,1
727,1010352,Madame Masque,31,15,36,3
988,1009514,Puma,31,13,34,2
1203,1010899,Spitfire,30,14,32,1
59,1009158,Arcade,30,21,29,2
1398,1009695,Vindicator,30,11,34,2
1161,1011057,Slapstick,30,10,33,4
1333,1009672,Titanium Man (Topolov),29,14,39,2
432,1009316,Gauntlet (Joseph Green),29,8,36,5
431,1009315,Gateway,29,12,27,3
41,1009152,Ancient One,29,10,34,2
875,1010365,Nebula,29,17,28,2
301,1009269,Death,29,19,30,2
1394,1009694,Vertigo (Savage Land Mutate),28,15,25,3
1117,1009579,Shard,28,5,34,1
781,1009463,Matthew Murdock,28,13,35,1
786,1011305,Maximus,28,13,28,5
455,1010927,Goliath (Bill Foster),28,12,29,2
465,1011420,Grey Gargoyle,28,22,36,3
407,1009307,Force Works,28,4,28,1
1275,1009651,Terrax,27,18,28,1
503,1010678,Hellion,27,12,30,2
821,1009410,Moira MacTaggert,27,19,22,3
1174,1010705,Spectrum,27,10,27,1
615,1009630,Johnny Storm,27,15,40,3
1096,1009568,Selene,27,15,28,1
396,1009303,Fin Fang Foom,27,16,31,2
363,1011082,Elixir,26,7,34,1
1150,1011265,Sinister Six,26,8,30,1
532,1009355,Hulkling,26,12,25,3
105,1010325,Betty Brant,26,14,29,1
1049,1010692,Rockslide,26,13,29,3
413,1011356,Frankenstein's Monster,26,6,35,1
1006,1009526,Radioactive Man,26,19,23,1
994,1009520,Purple Man,25,13,25,2
854,1011244,Mr. Negative,25,7,30,2
369,1010671,Enchantress (Amora),25,11,36,2
1419,1011287,Warlock (Technarchy),25,10,33,3
979,1009507,Prowler,25,11,23,3
1104,1009573,Shadow King,24,14,22,2
555,1009364,Impossible Man,24,19,31,1
1389,1010788,Venom (Mac Gargan),24,11,25,5
935,1010873,Paladin,24,14,26,2
1326,1009669,Tiger Shark,24,15,31,1
291,1009266,Darkstar,24,16,19,1
379,1009295,Exodus,24,18,29,3
1029,1010837,Red Wolf,24,11,27,1
203,1011027,Captain Universe,24,13,30,2
412,1009229,Frank Castle,24,10,28,2
